,Data de confirmação
2020-03-08,1
2020-03-16,1
2020-03-18,3
2020-03-19,1
2020-03-21,1
2020-03-23,2
2020-03-24,1
2020-03-27,4
2020-03-28,1
2020-04-02,1
2020-04-04,1
2020-04-05,6
2020-04-06,1
2020-04-07,2
2020-04-08,6
2020-04-10,5
2020-04-13,19
2020-04-14,12
2020-04-15,2
2020-04-16,23
2020-04-17,17
2020-04-18,21
2020-04-19,8
2020-04-20,18
2020-04-21,47
2020-04-22,64
2020-04-23,68
2020-04-24,68
2020-04-25,44
2020-04-26,68
2020-04-27,116
2020-04-28,158
2020-04-29,71
2020-04-30,172
2020-05-01,131
2020-05-02,57
2020-05-03,73
2020-05-04,61
2020-05-05,83
2020-05-06,144
2020-05-07,124
2020-05-08,91
2020-05-09,67
2020-05-10,70
2020-05-11,197
2020-05-12,164
2020-05-13,167
2020-05-14,190
2020-05-15,318
2020-05-16,215
2020-05-17,192
2020-05-18,257
2020-05-19,111
2020-05-20,435
2020-05-21,334
2020-05-22,304
2020-05-23,543
2020-05-24,435
2020-05-25,349
2020-05-26,478
2020-05-27,425
2020-05-28,519
2020-05-29,538
2020-05-30,1010
2020-05-31,488
2020-06-01,687
2020-06-02,782
2020-06-03,666
2020-06-04,770
2020-06-05,807
2020-06-06,845
2020-06-07,596
2020-06-08,729
2020-06-09,860
2020-06-10,930
2020-06-11,695
2020-06-12,617
2020-06-13,1054
2020-06-14,461
2020-06-15,203
2020-06-16,512
2020-06-17,262
2020-06-18,533
2020-06-19,78
2020-06-20,295
2020-06-21,177
2020-06-22,167
2020-06-23,192
2020-06-24,89
2020-06-25,51
2020-06-26,28
2020-06-27,293
2020-06-28,1
2020-06-29,42
2020-06-30,100
2020-07-01,94
2020-07-02,224
2020-07-03,66
2020-07-04,161
2020-07-05,161
2020-07-06,294
2020-07-07,74
2020-07-08,252
2020-07-09,135
2020-07-10,117
2020-07-11,221
2020-07-12,688
2020-07-13,223
2020-07-14,276
2020-07-15,394
2020-07-16,83
2020-07-17,39
2020-07-18,38
2020-07-19,56
2020-07-20,91
2020-07-21,164
2020-07-22,285
2020-07-23,260
2020-07-24,299
2020-07-25,107
2020-07-26,193
2020-07-27,183
2020-07-28,370
2020-07-29,128
2020-07-30,153
2020-07-31,425
2020-08-01,555
2020-08-02,296
2020-08-03,121
2020-08-04,302
2020-08-05,506
2020-08-06,337
2020-08-07,435
2020-08-08,645
2020-08-09,486
2020-08-10,185
2020-08-11,314
2020-08-12,348
2020-08-13,239
2020-08-14,364
2020-08-15,396
2020-08-16,98
2020-08-17,208
2020-08-18,43
2020-08-19,120
2020-08-20,59
2020-08-21,122
2020-08-22,277
2020-08-23,565
2020-08-24,111
2020-08-25,110
2020-08-26,167
2020-08-27,148
2020-08-28,17
2020-08-29,12
2020-08-30,5
2020-08-31,237
2020-09-01,46
2020-09-02,58
2020-09-03,33
2020-09-04,96
2020-09-05,178
2020-09-06,23
2020-09-07,26
2020-09-08,40
2020-09-09,51
2020-09-11,471
2020-09-12,119
2020-09-13,41
2020-09-14,113
2020-09-15,219
2020-09-16,7
2020-09-17,42
2020-09-18,473
2020-09-19,439
2020-09-20,172
2020-09-21,165
2020-09-22,374
2020-09-23,90
2020-09-24,25
2020-09-25,21
2020-09-26,79
2020-09-27,44
2020-09-28,14
2020-09-29,165
2020-09-30,507
2020-10-01,121
2020-10-02,55
2020-10-03,113
2020-10-04,1
2020-10-05,23
2020-10-06,34
2020-10-07,10
2020-10-08,17
2020-10-09,37
2020-10-10,8
2020-10-11,31
2020-10-12,29
2020-10-13,15
2020-10-14,27
2020-10-15,13
2020-10-16,5
2020-10-17,56
2020-10-18,6
2020-10-19,19
2020-10-20,19
2020-10-21,12
2020-10-22,37
2020-10-23,11
2020-10-24,2
2020-10-25,54
2020-10-26,10
2020-10-27,10
2020-10-28,6
2020-10-29,6
2020-10-30,39
2020-10-31,1
2020-11-01,63
2020-11-02,59
2020-11-03,23
2020-11-04,10
2020-11-05,19
2020-11-06,76
2020-11-07,79
2020-11-08,82
2020-11-09,15
2020-11-10,6
2020-11-11,14
2020-11-12,11
2020-11-13,12
2020-11-16,67
2020-11-17,17
2020-11-18,69
2020-11-19,29
2020-11-20,2
2020-11-21,3
2020-11-22,95
2020-11-23,7
2020-11-24,28
2020-11-25,12
