,Data de confirmação
2020-04-17,1
2020-04-21,2
2020-04-26,6
2020-04-28,2
2020-04-29,5
2020-04-30,3
2020-05-01,1
2020-05-02,1
2020-05-03,2
2020-05-05,9
2020-05-06,2
2020-05-07,1
2020-05-12,11
2020-05-13,1
2020-05-15,13
2020-05-16,58
2020-05-17,1
2020-05-18,7
2020-05-19,1
2020-05-21,6
2020-05-22,5
2020-05-23,86
2020-05-24,32
2020-05-25,4
2020-05-27,41
2020-05-28,1
2020-05-29,1
2020-05-30,45
2020-05-31,41
2020-06-01,72
2020-06-02,3
2020-06-03,6
2020-06-04,16
2020-06-05,83
2020-06-06,71
2020-06-07,162
2020-06-08,97
2020-06-09,5
2020-06-10,19
2020-06-11,13
2020-06-12,33
2020-06-13,319
2020-06-14,7
2020-06-15,4
2020-06-16,77
2020-06-17,20
2020-06-18,32
2020-06-19,1
2020-06-20,1
2020-06-22,1
2020-06-23,12
2020-06-25,1
2020-06-27,17
2020-06-29,11
2020-06-30,16
2020-07-01,5
2020-07-04,9
2020-07-05,38
2020-07-06,23
2020-07-08,157
2020-07-09,44
2020-07-10,7
2020-07-12,63
2020-07-13,3
2020-07-14,1
2020-07-15,1
2020-07-16,3
2020-07-17,8
2020-07-18,7
2020-07-20,7
2020-07-23,21
2020-07-24,1
2020-07-25,1
2020-07-28,109
2020-07-29,81
2020-07-30,88
2020-07-31,239
2020-08-01,316
2020-08-02,72
2020-08-03,1
2020-08-04,200
2020-08-05,464
2020-08-06,259
2020-08-07,355
2020-08-08,569
2020-08-09,368
2020-08-10,72
2020-08-11,163
2020-08-12,91
2020-08-13,49
2020-08-14,52
2020-08-15,171
2020-08-16,1
2020-08-17,3
2020-08-18,13
2020-08-20,2
2020-08-21,4
2020-08-22,76
2020-08-23,2
2020-08-24,7
2020-08-25,7
2020-08-26,78
2020-08-27,27
2020-08-30,1
2020-08-31,72
2020-09-01,11
2020-09-02,8
2020-09-03,1
2020-09-04,10
2020-09-05,100
2020-09-06,1
2020-09-07,3
2020-09-08,12
2020-09-09,1
2020-09-11,3
2020-09-13,9
2020-09-14,28
2020-09-16,1
2020-09-17,4
2020-09-18,5
2020-09-19,1
2020-09-20,45
2020-09-22,150
2020-09-25,1
2020-09-26,1
2020-09-27,3
2020-09-29,1
2020-10-02,1
2020-10-03,8
2020-10-06,2
2020-10-07,1
2020-10-09,4
2020-10-10,2
2020-10-12,1
2020-10-13,1
2020-10-14,1
2020-10-15,1
2020-10-17,1
2020-10-18,1
2020-10-19,2
2020-10-20,2
2020-10-21,1
2020-10-22,1
2020-10-23,2
2020-10-25,1
2020-10-26,1
2020-10-27,1
2020-10-30,6
2020-11-01,3
2020-11-02,1
2020-11-03,4
2020-11-04,9
2020-11-08,5
2020-11-12,1
2020-11-13,6
2020-11-16,4
2020-11-20,1
2020-11-23,3
2020-11-24,2
2020-11-25,2
2020-11-26,2
2020-11-27,3
2020-11-28,3
2020-12-02,1
2020-12-03,5
2020-12-04,2
2020-12-05,1
2020-12-09,3
2020-12-12,8
2020-12-13,13
2020-12-14,22
2020-12-18,4
2020-12-21,6
2020-12-25,2
2020-12-26,2
2020-12-29,1
2020-12-30,5
2021-01-01,6
2021-01-02,38
2021-01-06,10
2021-01-08,3
2021-01-09,3
2021-01-10,1
2021-01-11,1
2021-01-12,1
2021-01-13,2
2021-01-14,15
2021-01-15,1
2021-01-16,1
2021-01-17,9
2021-01-20,6
2021-01-21,1
2021-01-22,1
2021-01-23,3
2021-01-25,1
2021-01-26,1
2021-01-29,1
2021-01-30,2
2021-01-31,3
2021-02-01,1
2021-02-02,1
2021-02-04,9
2021-02-07,10
2021-02-08,2
2021-02-09,11
2021-02-10,17
2021-02-11,1
2021-02-12,14
2021-02-13,82
2021-02-15,7
2021-02-17,3
2021-02-18,7
2021-02-19,4
2021-02-21,20
2021-02-22,13
2021-02-23,2
2021-02-24,2
2021-02-25,1
2021-02-27,21
2021-02-28,35
2021-03-01,8
2021-03-02,6
2021-03-03,1
2021-03-04,3
2021-03-05,9
2021-03-06,5
2021-03-07,61
2021-03-08,9
2021-03-10,11
2021-03-11,36
2021-03-12,2
2021-03-13,1
2021-03-14,1
2021-03-15,32
2021-03-16,10
2021-03-17,35
2021-03-18,2
2021-03-19,31
2021-03-20,41
2021-03-21,39
2021-03-22,13
2021-03-23,31
2021-03-26,1
2021-03-27,25
2021-03-28,2
2021-03-29,47
2021-03-30,31
2021-03-31,13
2021-04-01,17
2021-04-02,14
2021-04-03,2
2021-04-05,1
2021-04-06,19
2021-04-07,7
2021-04-08,60
2021-04-09,47
2021-04-10,22
2021-04-11,17
2021-04-12,63
2021-04-13,1
2021-04-14,3
2021-04-15,21
2021-04-16,39
2021-04-17,1
2021-04-18,2
2021-04-20,14
2021-04-21,1
2021-04-23,11
2021-04-25,1
2021-04-26,1
2021-04-27,22
2021-04-28,16
2021-04-29,34
2021-04-30,21
2021-05-01,2
2021-05-02,29
2021-05-03,2
2021-05-04,12
2021-05-05,59
2021-05-07,41
2021-05-08,54
2021-05-10,1
2021-05-11,10
2021-05-12,51
2021-05-13,35
2021-05-14,27
2021-05-16,107
2021-05-17,14
2021-05-18,2
2021-05-19,38
2021-05-20,1
2021-05-21,29
2021-05-22,36
2021-05-25,87
2021-05-26,1
2021-05-28,87
2021-05-31,7
2021-06-01,114
2021-06-02,8
2021-06-03,97
2021-06-04,27
2021-06-05,113
2021-06-07,61
2021-06-08,6
2021-06-09,6
2021-06-10,11
2021-06-11,5
2021-06-12,90
2021-06-13,9
2021-06-14,1
2021-06-15,120
2021-06-16,140
2021-06-17,32
2021-06-18,30
2021-06-19,1
2021-06-20,4
2021-06-21,4
2021-06-23,1
2021-06-24,1
2021-06-25,23
2021-06-27,22
2021-06-28,37
2021-06-29,114
2021-06-30,133
2021-07-01,3
2021-07-02,3
2021-07-03,3
2021-07-04,1
2021-07-06,10
2021-07-07,8
2021-07-08,3
2021-07-09,6
2021-07-11,4
2021-07-12,2
2021-07-13,16
2021-07-14,4
2021-07-15,6
2021-07-16,9
2021-07-17,7
2021-07-18,4
2021-07-20,14
2021-07-21,1
2021-07-23,5
2021-07-27,24
2021-07-29,2
2021-08-02,1
2021-08-03,13
2021-08-05,3
2021-08-06,12
2021-08-08,4
2021-08-09,6
2021-08-10,6
2021-08-13,10
2021-08-17,5
2021-08-20,12
2021-08-24,17
2021-08-25,31
2021-08-26,30
2021-08-27,1
2021-08-28,2
2021-08-30,3
2021-09-03,2
2021-09-07,1
2021-09-08,2
2021-09-15,1
2021-10-11,1
2021-10-12,2
2021-10-19,1
2021-10-21,1
2021-10-28,1
2021-11-07,2
2021-11-15,1
2021-11-16,1
2021-11-17,3
2021-11-24,1
2021-11-26,2
2021-11-30,1
2021-12-03,1
2021-12-23,1
2021-12-28,1
2022-01-08,2
2022-01-20,2
2022-01-21,1
2022-01-23,1
2022-01-25,3
2022-01-27,8
2022-01-28,1
2022-01-30,1
2022-01-31,14
2022-02-01,2
2022-02-02,5
2022-02-03,3
2022-02-04,1
2022-02-05,19
2022-02-06,5
2022-02-08,57
2022-02-09,120
2022-02-10,44
2022-02-11,335
2022-02-12,66
2022-02-13,67
2022-02-14,57
2022-02-15,197
2022-02-16,25
2022-02-18,26
2022-02-19,1
2022-02-24,14
2022-02-25,32
2022-03-04,5
2022-03-07,8
2022-03-14,2
2022-03-15,5
2022-03-16,2
2022-03-18,1
2022-03-23,2
2022-03-24,1
2022-03-25,1
2022-03-27,1
2022-04-05,2
2022-04-11,1
2022-05-06,1
2022-05-25,1
2022-05-26,1
2022-05-29,3
2022-05-31,1
2022-06-16,2
2022-06-28,1
2022-07-02,3
2022-07-05,44
2022-07-06,1
2022-07-08,1
