,Data de confirmação
2020-05-01,1
2020-05-02,1
2020-05-05,2
2020-05-06,1
2020-05-13,1
2020-05-19,1
2020-05-23,3
2020-05-24,1
2020-05-25,3
2020-05-27,2
2020-05-29,1
2020-05-30,5
2020-05-31,2
2020-06-05,10
2020-06-06,1
2020-06-07,2
2020-06-08,1
2020-06-09,2
2020-06-10,3
2020-06-12,3
2020-06-13,5
2020-06-15,1
2020-06-16,5
2020-06-17,9
2020-06-18,3
2020-06-19,6
2020-06-20,1
2020-06-22,2
2020-06-23,1
2020-06-26,2
2020-06-28,2
2020-06-29,2
2020-06-30,4
2020-07-01,1
2020-07-03,3
2020-07-05,1
2020-07-06,2
2020-07-07,5
2020-07-08,3
2020-07-09,3
2020-07-10,1
2020-07-12,6
2020-07-14,1
2020-07-17,4
2020-07-18,2
2020-07-20,1
2020-07-21,2
2020-07-22,1
2020-07-23,3
2020-07-26,1
2020-07-27,1
2020-07-28,5
2020-07-29,1
2020-07-30,3
2020-07-31,1
2020-08-01,4
2020-08-04,1
2020-08-08,1
2020-08-09,1
2020-08-11,2
2020-08-13,2
2020-08-14,1
2020-08-16,1
2020-08-22,1
2020-08-25,2
2020-08-26,1
2020-09-02,1
2020-09-05,1
2020-09-14,1
2020-09-15,1
2020-09-17,2
2020-09-18,1
2020-09-23,1
2020-09-24,1
2020-09-25,1
2020-09-26,2
2020-09-28,1
2020-09-29,1
2020-10-01,1
2020-10-03,4
2020-10-09,1
2020-10-10,1
2020-10-14,1
2020-10-21,1
2020-10-27,1
2020-10-28,1
2020-11-03,2
2020-11-04,1
2020-11-06,3
2020-11-09,1
2020-11-10,2
2020-11-16,1
2020-11-23,1
2020-11-27,2
2020-12-10,1
2020-12-12,1
2020-12-13,1
2020-12-14,1
2020-12-15,1
2020-12-25,1
2020-12-26,1
2020-12-28,2
2020-12-29,1
2020-12-30,1
2021-01-01,2
2021-01-04,1
2021-01-05,2
2021-01-06,2
2021-01-08,1
2021-01-11,2
2021-01-12,1
2021-01-14,1
2021-01-15,1
2021-01-16,1
2021-01-20,1
2021-01-21,1
2021-01-22,2
2021-01-26,1
2021-01-28,1
2021-02-01,2
2021-02-02,3
2021-02-03,1
2021-02-06,1
2021-02-08,2
2021-02-09,1
2021-02-11,4
2021-02-12,2
2021-02-13,2
2021-02-14,2
2021-02-15,2
2021-02-17,4
2021-02-18,3
2021-02-20,1
2021-02-21,1
2021-02-22,3
2021-02-23,1
2021-02-26,3
2021-02-27,1
2021-02-28,1
2021-03-01,3
2021-03-02,1
2021-03-03,2
2021-03-04,5
2021-03-05,4
2021-03-07,6
2021-03-08,2
2021-03-09,1
2021-03-10,1
2021-03-11,5
2021-03-12,2
2021-03-14,1
2021-03-15,3
2021-03-16,4
2021-03-17,3
2021-03-18,2
2021-03-19,2
2021-03-22,4
2021-03-25,9
2021-03-26,5
2021-03-29,2
2021-03-30,3
2021-03-31,1
2021-04-01,1
2021-04-02,2
2021-04-03,1
2021-04-04,5
2021-04-05,2
2021-04-06,3
2021-04-07,1
2021-04-09,2
2021-04-10,1
2021-04-11,2
2021-04-12,3
2021-04-14,2
2021-04-16,3
2021-04-17,2
2021-04-18,3
2021-04-19,2
2021-04-22,3
2021-04-23,1
2021-04-24,2
2021-04-26,2
2021-04-27,2
2021-04-28,1
2021-04-30,3
2021-05-02,2
2021-05-03,2
2021-05-04,2
2021-05-05,3
2021-05-06,2
2021-05-07,2
2021-05-10,3
2021-05-11,7
2021-05-12,2
2021-05-13,5
2021-05-14,3
2021-05-17,1
2021-05-18,2
2021-05-19,6
2021-05-21,1
2021-05-22,1
2021-05-24,4
2021-05-25,3
2021-05-26,1
2021-05-27,4
2021-05-28,2
2021-05-29,1
2021-05-30,2
2021-05-31,2
2021-06-01,1
2021-06-02,4
2021-06-03,3
2021-06-04,3
2021-06-07,6
2021-06-08,4
2021-06-09,1
2021-06-10,1
2021-06-11,5
2021-06-12,1
2021-06-13,2
2021-06-14,4
2021-06-15,8
2021-06-16,1
2021-06-17,4
2021-06-18,3
2021-06-20,1
2021-06-21,3
2021-06-22,2
2021-06-23,1
2021-06-24,1
2021-06-25,1
2021-06-27,1
2021-06-28,4
2021-06-30,2
2021-07-02,2
2021-07-04,1
2021-07-05,4
2021-07-07,1
2021-07-08,3
2021-07-12,2
2021-07-13,1
2021-07-14,1
2021-07-15,1
2021-07-16,1
2021-07-19,1
2021-07-21,1
2021-07-25,1
2021-07-30,1
2021-07-31,1
2021-08-01,1
2021-08-04,1
2021-09-06,1
2021-10-04,1
2021-11-16,1
2022-01-21,1
2022-01-24,1
2022-01-25,1
2022-01-28,2
2022-01-31,1
2022-02-04,3
2022-02-06,1
2022-02-07,1
2022-02-08,1
2022-02-09,2
2022-02-14,2
2022-02-15,2
2022-02-16,1
2022-02-17,1
2022-04-12,1
2022-06-25,1
2022-07-04,4
2022-07-05,3
2022-07-07,2
2022-07-09,1
2022-07-10,1
2022-07-12,1
2022-07-14,2
2022-07-15,1
2022-07-27,1
2022-07-28,1
2022-08-13,1
2022-10-02,1
2022-11-11,1
2022-12-06,2
2022-12-09,1
2022-12-16,1
2022-12-17,2
