,Data de confirmação
2020-04-28,2
2020-05-01,1
2020-05-06,6
2020-05-07,12
2020-05-11,9
2020-05-15,1
2020-05-17,14
2020-05-18,1
2020-05-20,4
2020-05-21,1
2020-05-23,49
2020-05-24,3
2020-05-29,3
2020-06-01,81
2020-06-02,3
2020-06-03,2
2020-06-04,1
2020-06-05,18
2020-06-06,23
2020-06-07,1
2020-06-08,32
2020-06-10,76
2020-06-13,3
2020-06-14,34
2020-06-18,51
2020-06-22,5
2020-06-27,36
2020-07-01,4
2020-07-02,11
2020-07-03,6
2020-07-11,1
2020-07-12,10
2020-07-14,41
2020-07-15,77
2020-07-16,2
2020-07-18,1
2020-07-19,1
2020-07-21,34
2020-07-22,1
2020-07-23,10
2020-07-26,7
2020-07-28,2
2020-07-31,5
2020-08-01,5
2020-08-02,6
2020-08-04,3
2020-08-05,1
2020-08-07,1
2020-08-08,5
2020-08-10,5
2020-08-11,9
2020-08-12,7
2020-08-13,3
2020-08-14,2
2020-08-15,4
2020-08-16,2
2020-08-17,4
2020-08-18,1
2020-08-19,4
2020-08-21,8
2020-08-23,17
2020-08-25,1
2020-08-26,6
2020-08-28,1
2020-08-31,4
2020-09-02,1
2020-09-05,6
2020-09-09,2
2020-09-11,2
2020-09-12,1
2020-09-14,32
2020-09-15,1
2020-09-19,1
2020-09-20,5
2020-09-21,8
2020-09-22,5
2020-09-23,7
2020-09-24,2
2020-09-25,2
2020-09-26,5
2020-09-29,1
2020-10-01,2
2020-10-02,1
2020-10-03,5
2020-10-06,3
2020-10-08,1
2020-10-09,8
2020-10-13,1
2020-10-14,1
2020-10-17,5
2020-10-19,1
2020-10-20,1
2020-10-21,4
2020-10-22,1
2020-10-23,2
2020-10-25,7
2020-10-27,1
2020-10-30,3
2020-10-31,1
2020-11-01,2
2020-11-02,2
2020-11-06,2
2020-11-08,13
2020-11-09,2
2020-11-10,1
2020-11-11,1
2020-11-12,1
2020-11-16,8
2020-11-17,1
2020-11-18,1
2020-11-19,3
2020-11-22,6
2020-11-23,2
2020-11-24,4
2020-11-25,3
2020-11-26,1
2020-11-27,1
2020-11-28,4
2020-11-30,2
2020-12-01,3
2020-12-02,1
2020-12-03,1
2020-12-05,1
2020-12-12,9
2020-12-13,5
2020-12-14,4
2020-12-15,4
2020-12-16,4
2020-12-17,1
2020-12-18,7
2020-12-19,2
2020-12-21,4
2020-12-22,3
2020-12-23,2
2020-12-26,1
2020-12-28,1
2020-12-29,3
2020-12-30,1
2021-01-01,5
2021-01-02,12
2021-01-04,1
2021-01-06,1
2021-01-08,1
2021-01-09,6
2021-01-10,7
2021-01-12,1
2021-01-13,2
2021-01-14,3
2021-01-15,1
2021-01-16,1
2021-01-17,2
2021-01-19,5
2021-01-22,4
2021-01-24,2
2021-01-29,2
2021-01-30,5
2021-01-31,11
2021-02-01,2
2021-02-03,2
2021-02-04,4
2021-02-07,19
2021-02-08,2
2021-02-09,9
2021-02-11,1
2021-02-13,23
2021-02-14,38
2021-02-19,1
2021-02-21,30
2021-02-22,1
2021-02-24,6
2021-02-26,2
2021-02-28,25
2021-03-02,5
2021-03-03,3
2021-03-04,4
2021-03-06,4
2021-03-07,1
2021-03-08,2
2021-03-09,7
2021-03-10,5
2021-03-11,21
2021-03-12,2
2021-03-15,2
2021-03-17,14
2021-03-18,2
2021-03-19,7
2021-03-20,10
2021-03-23,7
2021-03-24,13
2021-03-25,7
2021-03-27,4
2021-03-30,5
2021-03-31,4
2021-04-01,15
2021-04-02,1
2021-04-05,2
2021-04-06,1
2021-04-07,4
2021-04-13,10
2021-04-14,3
2021-04-16,10
2021-04-17,15
2021-04-20,15
2021-04-22,1
2021-04-23,4
2021-04-27,1
2021-04-28,6
2021-04-29,4
2021-04-30,4
2021-05-01,12
2021-05-02,1
2021-05-04,13
2021-05-05,20
2021-05-06,4
2021-05-08,25
2021-05-11,5
2021-05-12,3
2021-05-17,1
2021-05-19,7
2021-05-21,1
2021-05-22,12
