,Data de confirmação
2020-05-06,1
2020-05-11,2
2020-05-14,3
2020-05-21,3
2020-05-23,2
2020-05-26,3
2020-05-29,1
2020-06-02,1
2020-06-03,1
2020-06-05,1
2020-06-06,2
2020-06-08,1
2020-06-10,2
2020-06-13,1
2020-06-14,1
2020-06-17,1
2020-06-18,1
2020-06-21,2
2020-07-06,1
2020-07-16,1
2020-10-04,1
2020-11-12,2
2020-11-19,1
2020-12-06,1
2020-12-20,1
2020-12-22,1
2021-01-19,1
2021-02-01,1
2021-03-03,1
2021-03-14,1
2021-03-20,1
2021-03-31,1
2021-04-12,1
2021-04-13,1
2021-04-14,1
2021-04-16,1
2021-04-24,1
2021-04-30,2
2021-05-06,1
2021-05-07,1
2021-05-12,1
2021-05-27,1
2021-06-06,1
2021-06-12,1
2021-06-17,1
2021-07-04,1
2021-07-12,1
2021-07-29,1
2021-08-27,1
2021-08-30,1
2021-10-14,1
2021-11-05,1
2022-02-08,1
2022-02-18,1
2022-03-04,1
2022-03-09,1
2022-07-01,1
2022-07-11,1
2022-07-12,1
2022-08-04,1
2022-08-08,1
2022-12-12,1
