,Data de confirmação
2020-03-08,1
2020-03-16,1
2020-03-18,3
2020-03-19,1
2020-03-21,1
2020-03-23,1
2020-03-24,1
2020-03-27,4
2020-04-02,1
2020-04-04,1
2020-04-05,4
2020-04-06,1
2020-04-07,2
2020-04-08,6
2020-04-10,5
2020-04-13,15
2020-04-14,11
2020-04-15,2
2020-04-16,20
2020-04-17,15
2020-04-18,19
2020-04-19,7
2020-04-20,17
2020-04-21,42
2020-04-22,61
2020-04-23,60
2020-04-24,60
2020-04-25,32
2020-04-26,54
2020-04-27,94
2020-04-28,128
2020-04-29,48
2020-04-30,148
2020-05-01,102
2020-05-02,48
2020-05-03,61
2020-05-04,36
2020-05-05,49
2020-05-06,97
2020-05-07,75
2020-05-08,67
2020-05-09,37
2020-05-10,45
2020-05-11,133
2020-05-12,110
2020-05-13,78
2020-05-14,109
2020-05-15,187
2020-05-16,64
2020-05-17,141
2020-05-18,136
2020-05-19,5
2020-05-20,220
2020-05-21,88
2020-05-22,151
2020-05-23,138
2020-05-24,242
2020-05-25,201
2020-05-26,271
2020-05-27,193
2020-05-28,222
2020-05-29,236
2020-05-30,751
2020-05-31,193
2020-06-01,205
2020-06-02,406
2020-06-03,330
2020-06-04,368
2020-06-05,291
2020-06-06,276
2020-06-07,207
2020-06-08,247
2020-06-09,314
2020-06-10,277
2020-06-11,320
2020-06-12,254
2020-06-13,426
2020-06-14,197
2020-06-15,95
2020-06-16,124
2020-06-17,23
2020-06-18,122
2020-06-19,9
2020-06-20,184
2020-06-21,103
2020-06-22,95
2020-06-23,113
2020-06-24,8
2020-06-25,14
2020-06-26,14
2020-06-27,211
2020-06-29,20
2020-06-30,22
2020-07-01,6
2020-07-02,5
2020-07-03,5
2020-07-04,122
2020-07-05,85
2020-07-06,222
2020-07-07,50
2020-07-08,1
2020-07-09,4
2020-07-10,32
2020-07-11,104
2020-07-12,438
2020-07-13,165
2020-07-14,61
2020-07-15,11
2020-07-16,7
2020-07-17,4
2020-07-18,24
2020-07-19,27
2020-07-20,7
2020-07-21,4
2020-07-22,203
2020-07-23,60
2020-07-24,43
2020-07-25,7
2020-07-26,4
2020-07-27,53
2020-07-28,137
2020-07-29,11
2020-07-30,17
2020-07-31,97
2020-08-01,55
2020-08-02,48
2020-08-03,99
2020-08-04,60
2020-08-05,9
2020-08-06,43
2020-08-07,57
2020-08-08,55
2020-08-09,9
2020-08-10,31
2020-08-11,13
2020-08-12,9
2020-08-13,74
2020-08-14,217
2020-08-15,25
2020-08-16,57
2020-08-17,18
2020-08-18,1
2020-08-19,21
2020-08-20,11
2020-08-21,7
2020-08-22,182
2020-08-23,10
2020-08-24,2
2020-08-25,67
2020-08-26,8
2020-08-27,33
2020-08-28,3
2020-08-31,56
2020-09-01,17
2020-09-02,24
2020-09-04,34
2020-09-05,19
2020-09-06,19
2020-09-07,15
2020-09-08,14
2020-09-11,348
2020-09-12,4
2020-09-13,7
2020-09-14,21
2020-09-15,11
2020-09-16,3
2020-09-17,4
2020-09-18,309
2020-09-19,428
2020-09-20,56
2020-09-21,11
2020-09-22,53
2020-09-23,1
2020-09-24,5
2020-09-25,2
2020-09-26,8
2020-09-27,4
2020-09-28,2
2020-09-29,137
2020-09-30,496
2020-10-01,103
2020-10-02,6
2020-10-03,9
2020-10-05,1
2020-10-06,8
2020-10-07,1
2020-10-08,7
2020-10-09,8
2020-10-11,4
2020-10-12,1
2020-10-13,3
2020-10-14,14
2020-10-15,3
2020-10-17,11
2020-10-18,1
2020-10-20,2
2020-10-22,7
2020-10-23,1
2020-10-24,1
2020-10-25,9
2020-10-26,1
2020-10-30,15
2020-11-01,23
2020-11-02,20
2020-11-03,3
2020-11-05,1
2020-11-06,63
2020-11-07,77
2020-11-08,24
2020-11-09,1
2020-11-10,2
2020-11-11,3
2020-11-12,3
2020-11-13,2
2020-11-16,15
2020-11-17,2
2020-11-18,36
2020-11-21,3
2020-11-22,58
2020-11-24,1
2020-11-25,2
2020-11-26,21
2020-11-27,2
2020-11-28,30
2020-11-30,9
2020-12-01,20
2020-12-02,23
2020-12-03,1
2020-12-04,12
2020-12-05,113
2020-12-06,39
2020-12-07,6
2020-12-08,13
2020-12-09,45
2020-12-10,11
2020-12-11,17
2020-12-12,57
2020-12-13,68
2020-12-14,64
2020-12-15,291
