,Data de confirmação
2020-05-09,1
2020-05-11,1
2020-05-25,1
2020-05-29,2
2020-06-05,1
2020-06-06,1
2020-06-13,1
2020-06-14,1
2020-06-19,2
2020-06-22,1
2020-06-24,1
2020-07-06,1
2020-07-14,1
2020-07-15,2
2020-07-20,1
2020-07-24,1
2020-07-26,1
2020-07-27,1
2020-07-28,1
2020-08-12,1
2020-08-13,1
2020-08-19,1
2020-08-25,1
2020-08-27,1
2020-09-02,1
2020-09-17,1
2020-09-25,1
2020-10-02,1
2020-10-04,3
2020-10-05,1
2020-11-04,2
2020-11-23,1
2020-12-03,1
2020-12-04,1
2021-01-14,1
2021-01-16,1
2021-02-01,1
2021-02-14,1
2021-03-14,1
2021-03-18,1
2021-03-28,1
2021-04-06,1
2021-04-15,2
2021-04-16,1
2021-05-10,1
2021-05-11,1
2021-05-12,2
2021-05-16,2
2021-05-17,1
2021-05-18,2
2021-05-19,1
2021-05-20,2
2021-05-24,1
2021-05-26,1
2021-05-29,1
2021-06-02,2
2021-06-03,1
2021-06-06,1
2021-06-08,1
2021-06-10,3
2021-06-11,1
2021-06-12,1
2021-06-13,1
2021-06-14,1
2021-06-17,1
2021-06-19,1
2021-06-22,1
2021-06-27,1
2021-07-03,1
2021-10-24,1
2021-12-07,1
2022-01-19,2
2022-01-26,1
2022-02-01,1
2022-02-03,1
2022-02-11,2
2022-02-21,1
2022-07-03,1
2022-11-18,1
2022-12-14,1
