LOCAL;DATA;HORA;Temp. Ins. (C);TEMP MAX;Temp. Min. (C);PA INST;Pressao Max. (hPa);Pressao Min. (hPa);VEL VEN MED;Dir. Vento (m/s);Raj. Vento (m/s)
CORURIPE;14/10/2023;0;25;25,4;24,9;1006,2;1006,2;1005,7;2,5;56;6,1
CORURIPE;14/10/2023;100;24,6;24,9;24,6;1006;1006,2;1005,9;2,3;51;6,1
CORURIPE;14/10/2023;200;24,3;24,6;24,3;1005,7;1006;1005,7;2,3;61;5,5
CORURIPE;14/10/2023;300;24;24,3;24;1005,5;1005,7;1005,5;1,5;57;4,6
CORURIPE;14/10/2023;400;23,6;24;23,6;1004,9;1005,5;1004,9;1,6;54;4
CORURIPE;14/10/2023;500;23,6;23,8;23,5;1004,7;1004,9;1004,7;1,1;83;4,4
CORURIPE;14/10/2023;600;23,5;23,6;23,3;1004,9;1004,9;1004,5;0,8;61;3,3
CORURIPE;14/10/2023;700;22,9;23,5;22,9;1005,1;1005,1;1004,9;0,9;22;2
CORURIPE;14/10/2023;800;22,4;22,9;22,4;1005,5;1005,5;1005,1;0,9;54;2,4
CORURIPE;14/10/2023;900;23,4;23,4;22,4;1006;1006;1005,5;1,5;54;3,4
CORURIPE;14/10/2023;1000;25,2;25,5;23,4;1006,8;1006,8;1006;1,5;42;4,1
CORURIPE;14/10/2023;1100;27,2;27,2;25,2;1007,1;1007,2;1006,8;2,5;63;5
CORURIPE;14/10/2023;1200;27,8;27,9;27;1007,3;1007,4;1007,1;3;98;8,7
CORURIPE;14/10/2023;1300;28,8;29,3;27,6;1007,3;1007,5;1007,3;4,3;93;10,5
CORURIPE;14/10/2023;1400;29,7;30,3;28,5;1006,7;1007,3;1006,7;4,9;99;10,5
CORURIPE;14/10/2023;1500;30,7;30,9;29,7;1006,3;1006,8;1006,3;4,1;99;10,1
CORURIPE;14/10/2023;1600;29,7;30,8;29,7;1005,3;1006,3;1005,2;4,7;96;9,6
CORURIPE;14/10/2023;1700;29,4;30,6;29,2;1004,9;1005,3;1004,8;3,4;97;9,8
CORURIPE;14/10/2023;1800;29,2;29,9;28,8;1005,2;1005,2;1004,9;3,5;101;9
CORURIPE;14/10/2023;1900;27,8;29,3;27,7;1005,7;1005,7;1005,2;3,8;92;8,7
CORURIPE;14/10/2023;2000;26,4;27,8;26,3;1006,3;1006,3;1005,7;2,7;103;7,6
CORURIPE;14/10/2023;2100;25,6;26,4;25,6;1006,6;1006,7;1006,3;2,4;100;7,2
CORURIPE;14/10/2023;2200;25,4;25,6;25,4;1007,2;1007,2;1006,6;2,5;103;5,7
CORURIPE;14/10/2023;2300;25,3;25,4;25,2;1008;1008;1007,2;2,8;104;5,9
CORURIPE;15/10/2023;0;24,9;25,3;24,9;1008,7;1008,7;1008;2,4;98;5,9
CORURIPE;15/10/2023;100;24,7;24,9;24,6;1009,1;1009,1;1008,7;1,9;100;5,5
CORURIPE;15/10/2023;200;24,6;24,7;24,6;1008,8;1009,1;1008,8;2;101;5,2
CORURIPE;15/10/2023;300;24,4;24,8;24,4;1008,5;1008,8;1008,5;2,1;100;5,2
CORURIPE;15/10/2023;400;24,1;24,4;24,1;1007,7;1008,5;1007,7;1,7;98;5,2
CORURIPE;15/10/2023;500;23,7;24,1;23,7;1007;1007,7;1007;1,4;100;4,2
CORURIPE;15/10/2023;600;24,1;24,1;23,6;1006,7;1007;1006,6;1,6;104;5
CORURIPE;15/10/2023;700;23,5;24,2;23,5;1007,1;1007,1;1006,7;1,2;56;3,7
CORURIPE;15/10/2023;800;23,4;23,7;23,2;1007,6;1007,6;1007,1;0,7;65;3,5
CORURIPE;15/10/2023;900;25,4;25,4;23,4;1008,1;1008,1;1007,6;2,4;101;5,9
CORURIPE;15/10/2023;1000;26,3;26,8;25,4;1008,8;1008,8;1008,1;3,1;106;7,2
CORURIPE;15/10/2023;1100;27,9;27,9;26,2;1009,3;1009,3;1008,8;3,4;104;9,1
CORURIPE;15/10/2023;1200;28,6;28,6;27,5;1009,5;1009,5;1009,2;4,2;111;11
CORURIPE;15/10/2023;1300;28,5;29,4;27,9;1009,4;1009,5;1009,3;4,9;118;10,5
CORURIPE;15/10/2023;1400;29;30,3;28,4;1008,8;1009,4;1008,8;4,7;106;9,4
CORURIPE;15/10/2023;1500;29,2;29,9;28,4;1008;1008,9;1008;4,1;102;10,7
CORURIPE;15/10/2023;1600;28,4;29,8;28;1006,9;1008;1006,9;4,5;111;11,3
CORURIPE;15/10/2023;1700;28,9;29,6;27,5;1006,3;1006,9;1006,3;4;120;11
CORURIPE;15/10/2023;1800;27,9;29;27,5;1005,9;1006,3;1005,8;3,8;122;9,3
CORURIPE;15/10/2023;1900;26,7;27,9;26,5;1006,1;1006,1;1005,8;4;124;7,9
CORURIPE;15/10/2023;2000;26,1;27,2;26,1;1006,4;1006,4;1006,1;3,4;131;7,9
CORURIPE;15/10/2023;2100;25,1;26,1;25,1;1006,7;1006,7;1006,4;3,6;130;6,3
CORURIPE;15/10/2023;2200;24,5;25,1;24,5;1007,3;1007,3;1006,7;2,6;133;6,4
CORURIPE;15/10/2023;2300;24,1;24,6;24,1;1007,9;1007,9;1007,3;2,4;147;4,7
CORURIPE;16/10/2023;0;24,3;24,3;24;1008,4;1008,4;1007,9;3,1;131;4,7
CORURIPE;16/10/2023;100;24,2;24,3;24;1008,6;1008,6;1008,4;2;122;4,4
CORURIPE;16/10/2023;200;24,1;24,3;23,9;1008,2;1008,6;1008,2;1,9;123;4,4
CORURIPE;16/10/2023;300;23,8;24,1;23,6;1007,6;1008,2;1007,6;2,3;130;4,4
CORURIPE;16/10/2023;400;23,2;23,8;23,2;1007;1007,6;1007;1,7;129;4
CORURIPE;16/10/2023;500;22,6;23,3;22,6;1006,5;1007;1006,5;1,5;144;3,1
CORURIPE;16/10/2023;600;22,8;22,8;22,3;1006,2;1006,5;1006,1;1,3;87;2,8
CORURIPE;16/10/2023;700;22,3;22,8;22,3;1006,2;1006,2;1006,1;0,9;100;2,4
CORURIPE;16/10/2023;800;22,5;22,5;22,2;1006,2;1006,3;1006,1;1,4;110;2,6
CORURIPE;16/10/2023;900;23,9;23,9;22,5;1006,9;1006,9;1006,2;0,7;157;2,9
CORURIPE;16/10/2023;1000;25,6;26,3;23,9;1007,5;1007,5;1006,9;3,1;127;5,1
CORURIPE;16/10/2023;1100;27,4;27,4;25,6;1008;1008;1007,5;4,2;144;7,3
CORURIPE;16/10/2023;1200;28,4;28,7;27,1;1008,1;1008,2;1008;3,9;139;7
CORURIPE;16/10/2023;1300;28,8;29,3;27,9;1008,1;1008,2;1008;4,7;154;8,7
CORURIPE;16/10/2023;1400;29;29,3;27,9;1007,7;1008,1;1007,6;4,5;139;8,7
CORURIPE;16/10/2023;1500;28,8;29,6;28,4;1007;1007,7;1007;5;140;8,7
CORURIPE;16/10/2023;1600;28,7;29,7;27,7;1006;1007;1006;4;129;8,7
CORURIPE;16/10/2023;1700;29,1;29,7;28,4;1005,4;1006;1005,4;2,8;103;6,8
