Data;Hora UTC;PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);VENTO, DIREÇÃO HORARIA (gr) (° (gr))
01/01/2023;0000 UTC;970;970;969,6;;143
01/01/2023;0100 UTC;971,5;971,5;970;;147
01/01/2023;0200 UTC;973,2;973,2;971,5;;147
01/01/2023;0300 UTC;973,7;973,8;973,2;;142
01/01/2023;0400 UTC;975,7;975,7;973,7;;40
01/01/2023;0500 UTC;976,9;976,9;975,7;;20
01/01/2023;0600 UTC;976,7;977,1;976,6;;88
01/01/2023;0700 UTC;978,3;978,3;976,7;;6
01/01/2023;0800 UTC;979,6;979,6;978,3;;170
01/01/2023;0900 UTC;981,5;981,5;979,6;;169
01/01/2023;1000 UTC;986,7;986,7;981,5;;119
01/01/2023;1100 UTC;997,3;997,3;986,7;;119
01/01/2023;1200 UTC;1001;1001;997,3;;149
01/01/2023;1300 UTC;1007;1007;1001;;131
01/01/2023;1400 UTC;1009,8;1009,8;1007;;138
01/01/2023;1500 UTC;1010,2;1010,6;1009,8;;133
01/01/2023;1600 UTC;1001;1010,4;1001;;142
01/01/2023;1700 UTC;983,3;1001;983,3;;144
01/01/2023;1800 UTC;971,3;983,3;971,3;;149
01/01/2023;1900 UTC;970,3;971,3;970,3;;138
01/01/2023;2000 UTC;969,8;970,5;969,8;;139
01/01/2023;2100 UTC;970;970;969,8;;145
01/01/2023;2200 UTC;972,2;972,2;970;;87
01/01/2023;2300 UTC;974,8;974,8;972,2;;62
02/01/2023;0000 UTC;976,7;976,7;974,8;;26
02/01/2023;0100 UTC;978,3;978,3;976,7;;12
02/01/2023;0200 UTC;979,7;979,7;978,3;;4
02/01/2023;0300 UTC;980,7;980,7;979,7;;88
02/01/2023;0400 UTC;981,4;981,4;980,7;;36
02/01/2023;0500 UTC;981,8;981,8;981,4;;141
02/01/2023;0600 UTC;982,2;982,2;981,8;;134
02/01/2023;0700 UTC;982,4;982,5;982,2;;48
02/01/2023;0800 UTC;982,2;982,6;982,2;;21
02/01/2023;0900 UTC;982,6;982,6;982,2;;26
02/01/2023;1000 UTC;985,9;985,9;982,6;;125
