LOCAL;DATA;HORA;Temp. Ins. (C);TEMP MAX;Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);PA INST;Pressao Max. (hPa);Pressao Min. (hPa);VEL VEN MED;Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
MACEIO;14/10/2023;0;24,7;25,2;24,7;93;93;87;1006,9;1006,9;1006,6;2,4;37;5,3;;0
MACEIO;14/10/2023;100;23,9;24,7;23,9;96;96;93;1006,7;1007;1006,7;1,8;32;3,4;;0
MACEIO;14/10/2023;200;23,6;23,9;23,6;96;96;96;1006,2;1006,7;1006,2;1,9;22;2,6;;0
MACEIO;14/10/2023;300;23,5;23,7;23,5;96;97;96;1005,8;1006,2;1005,8;2;25;2,9;;0
MACEIO;14/10/2023;400;23,5;23,7;23,3;97;97;96;1005,4;1005,8;1005,3;1,5;13;3,3;;0
MACEIO;14/10/2023;500;23,4;23,5;23,4;97;98;97;1005,1;1005,4;1005,1;1,4;26;2,7;;0
MACEIO;14/10/2023;600;23,1;23,4;23;98;98;97;1005,1;1005,3;1005;2;27;2,7;;0
MACEIO;14/10/2023;700;22,6;23,1;22,6;99;99;97;1005,4;1005,4;1004,9;0,4;8;3,1;;0
MACEIO;14/10/2023;800;22,7;22,7;22,3;100;100;98;1006;1006,1;1005,4;0,6;303;1,5;;0
MACEIO;14/10/2023;900;23,8;23,9;22,6;95;100;95;1006,2;1006,3;1006;1,8;357;3,1;228,2;0,2
MACEIO;14/10/2023;1000;24,8;24,8;23,8;90;95;89;1007,2;1007,2;1006,2;2,9;37;4,6;578,3;0
MACEIO;14/10/2023;1100;26;26,2;24,8;84;90;84;1007,4;1007,5;1007,2;3,7;52;5,5;1107,6;0
MACEIO;14/10/2023;1200;28,4;28,4;26;68;84;68;1007,6;1007,7;1007,4;5,5;83;9,2;1750,2;0
MACEIO;14/10/2023;1300;29,7;29,9;28,3;54;69;54;1007,6;1007,7;1007,5;6;60;9,9;3248,1;0
