LOCAL;DATA;HORA;Temp. Ins. (C);TEMP MAX;Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);PA INST;Pressao Max. (hPa);Pressao Min. (hPa);VEL VEN MED;Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
PALMEIRA DOS INDIOS;14/10/2023;0;24,3;24,7;24,3;92;92;90;983,8;983,8;983,4;3,8;93;9,3;;0
PALMEIRA DOS INDIOS;14/10/2023;100;23,9;24,3;23,9;93;93;92;983,7;983,8;983,7;3,9;79;8,7;;0
PALMEIRA DOS INDIOS;14/10/2023;200;23,6;23,9;23,5;93;94;93;983,3;983,7;983,3;4,5;43;8;;0
PALMEIRA DOS INDIOS;14/10/2023;300;23,3;23,6;23,3;93;93;92;982,8;983,3;982,8;4,4;84;8,9;;0
PALMEIRA DOS INDIOS;14/10/2023;400;23,2;23,5;23,2;93;93;92;982,7;982,8;982,4;4,4;68;9,4;;0
PALMEIRA DOS INDIOS;14/10/2023;500;22,8;23,2;22,8;93;93;93;982,1;982,7;982,1;3,4;131;7,1;;0
PALMEIRA DOS INDIOS;14/10/2023;600;22,8;23;22,7;92;93;91;982,2;982,2;981,9;3,4;116;7,7;;0
PALMEIRA DOS INDIOS;14/10/2023;700;22,4;22,8;22,4;95;95;92;982,7;982,7;982,2;2,5;137;6;;0
PALMEIRA DOS INDIOS;14/10/2023;800;22;22,4;21,9;99;100;95;983,3;983,3;982,7;2;155;4,6;;0
PALMEIRA DOS INDIOS;14/10/2023;900;23,4;23,4;21,8;93;100;93;983,6;983,6;983,3;2,9;144;5,1;217,9;0
PALMEIRA DOS INDIOS;14/10/2023;1000;25,5;25,5;23,4;83;93;83;984,3;984,3;983,6;4,7;353;8,7;1040,9;0
PALMEIRA DOS INDIOS;14/10/2023;1100;27,5;27,5;25,3;68;83;68;984,7;984,7;984,3;6,7;54;11,3;1660,4;0
PALMEIRA DOS INDIOS;14/10/2023;1200;29,3;29,3;27,1;66;69;66;984,7;984,8;984,6;5,4;55;11,3;2797,6;0
PALMEIRA DOS INDIOS;14/10/2023;1300;29,2;29,8;28,3;66;67;62;984,7;984,8;984,6;5,9;69;10,8;2633;0
PALMEIRA DOS INDIOS;14/10/2023;1400;30,6;31,2;28,3;55;68;55;983,8;984,7;983,8;5,2;63;10,2;2985,5;0
PALMEIRA DOS INDIOS;14/10/2023;1500;30,6;32;30;62;62;54;983;983,8;983;4;179;10,1;2852,2;0
PALMEIRA DOS INDIOS;14/10/2023;1600;29,6;32,2;29,6;64;64;57;982,2;983;982,2;5,9;60;9,9;3238,6;0
PALMEIRA DOS INDIOS;14/10/2023;1700;30,4;31;29,4;59;66;58;981,8;982,2;981,8;5,1;80;9,7;1380,7;0
PALMEIRA DOS INDIOS;14/10/2023;1800;31;31,9;30,2;58;60;54;981,8;981,8;981,6;5;66;9,6;2257,6;0
PALMEIRA DOS INDIOS;14/10/2023;1900;28,8;31;28,6;68;68;58;982,5;982,5;981,7;5;79;9,9;891,3;0
PALMEIRA DOS INDIOS;14/10/2023;2000;26,3;28,7;26,3;80;80;68;983,2;983,2;982,5;4,3;139;9,8;196,3;0
PALMEIRA DOS INDIOS;14/10/2023;2100;25;26,3;25;84;84;80;983,8;983,8;983,2;3,5;138;9,6;2,8;0
PALMEIRA DOS INDIOS;14/10/2023;2200;24,4;25;24,4;88;88;84;984,4;984,4;983,8;4,5;134;7,1;;0
PALMEIRA DOS INDIOS;14/10/2023;2300;23,8;24,4;23,7;90;90;88;985,5;985,5;984,4;3,7;131;7,6;;0
PALMEIRA DOS INDIOS;15/10/2023;0;23,9;24,1;23,8;90;90;90;986,2;986,2;985,5;4,2;129;7,2;;0
PALMEIRA DOS INDIOS;15/10/2023;100;23,5;23,9;23,3;94;94;90;986,7;986,7;986,2;3,9;136;7,4;;0
PALMEIRA DOS INDIOS;15/10/2023;200;23,3;23,7;23,3;94;94;93;986,4;986,7;986,4;4,3;104;8,9;;0
PALMEIRA DOS INDIOS;15/10/2023;300;22,9;23,3;22,8;96;96;94;986,1;986,4;986,1;3,3;65;8,4;;0
PALMEIRA DOS INDIOS;15/10/2023;400;22,9;23,1;22,9;95;96;94;985,3;986,1;985,3;4,8;141;8,6;;0
PALMEIRA DOS INDIOS;15/10/2023;500;22,3;22,9;22,3;97;98;95;984,7;985,3;984,7;3,5;84;8,6;;0
PALMEIRA DOS INDIOS;15/10/2023;600;22,2;22,3;22,1;98;99;97;984,7;984,8;984,6;3,3;93;6,6;;0
PALMEIRA DOS INDIOS;15/10/2023;700;21,8;22,2;21,7;;;;984,8;984,8;984,6;3;118;6,1;;0
PALMEIRA DOS INDIOS;15/10/2023;800;21,4;21,8;21,4;;;;985,2;985,2;984,8;1,9;143;5,3;;0
PALMEIRA DOS INDIOS;15/10/2023;900;22,9;22,9;21,3;99;;;985,8;985,8;985,1;1,8;136;3,2;191,4;0
PALMEIRA DOS INDIOS;15/10/2023;1000;24,7;25;22,9;85;99;84;986,3;986,4;985,8;4,2;77;7,9;930,5;0
PALMEIRA DOS INDIOS;15/10/2023;1100;25,8;25,9;24,6;79;86;78;986,6;986,6;986,4;3,7;109;8,2;1011,2;0
PALMEIRA DOS INDIOS;15/10/2023;1200;24,7;25,8;22,4;92;100;79;987,1;987,2;986,6;2,9;142;9,8;956;0,2
PALMEIRA DOS INDIOS;15/10/2023;1300;28,6;29;24,5;63;92;63;986,6;987,1;986,6;5,3;135;9,5;2836,4;0
PALMEIRA DOS INDIOS;15/10/2023;1400;29,3;30,4;28,6;58;64;55;986,1;986,7;986,1;4,9;71;9,7;3739,2;0
