NOME PCD;DATA;HORA;TEMP INST;TEMP MED;TEMP MAX;TEMP MIN;UR INST;UR MED;UR MAX;UR MIN;PO INST;PO MED;PO MAX;PO MIN;PA INST;PA MED;PA MAX;PA MIN;RAD INST;RAD MED;RAD MAX;RAD MIN;VEL VEN INST;VEL VEN MED;VEL VEN MAX;VEL VEN MIN;DIR VEN INST;DIR VEN MED;DIR VEN MAX;DIR VEN MIN;EVAP;PREC ACUM HORA;PREC ACUM 24H;CORRENTE PAINEL;TENSAO BAT;TEMP INST;data registrada;Data Local;DIA;MES;ANO;hora
PENEDO;10/05/2023;00:00:00;23,4;23,4;23,4;23,3;96,4;96,3;96,8;96,1;22,7;22,7;22,7;22,6;1009,4;1009,6;1009,6;1009,4;0;0;0;0;0,6;0,9;1,5;0,6;318;11;358;10;0;0;1;0;12,7;25,7;10/05/2023 00:00;09/05/2023 23:00;9;5;2023;23:00
PENEDO;10/05/2023;01:00:00;22,8;23;23,3;22,8;99,1;98,1;99,1;96,8;22,6;22,6;22,7;22,6;1008,8;1009;1009,4;1008,8;0;0;0;0;0,7;1,1;1,3;0,7;342;313;346;295;0;0;0;0;12,7;25,3;10/05/2023 01:00;10/05/2023 00:00;10;5;2023;00:00
PENEDO;10/05/2023;02:00:00;22,8;22,8;22,9;22,6;99,9;99,7;99,9;99,1;22,7;22,6;22,7;22,5;1008,2;1008,4;1008,6;1008,2;0;0;0;0;1,2;0,7;1,3;0;347;325;347;292;0;0;0;0;12,6;25,1;10/05/2023 02:00;10/05/2023 01:00;10;5;2023;01:00
PENEDO;10/05/2023;03:00:00;22,6;22,7;22,7;22,6;99,9;99,9;99,9;99,9;22,5;22,6;22,6;22,5;1007,8;1008;1008;1007,8;0;0;0;0;1,4;1,1;1,4;0,7;302;318;341;296;0;0;0;0;12,6;25;10/05/2023 03:00;10/05/2023 02:00;10;5;2023;02:00
PENEDO;10/05/2023;04:00:00;22,4;22,5;22,6;22,4;99,9;99,9;99,9;99,9;22,3;22,4;22,5;22,3;1007,8;1007,8;1007,8;1007,8;0;0;0;0;2,1;1,6;2,1;1,2;314;308;314;287;0;0;0;0;12,6;25;10/05/2023 04:00;10/05/2023 03:00;10;5;2023;03:00
PENEDO;10/05/2023;05:00:00;22,3;22,3;22,4;22,3;99,9;99,9;99,9;99,9;22,2;22,2;22,3;22,2;1008;1007,8;1008;1007,6;0;0;0;0;1,6;1,4;1,6;0,6;310;301;310;285;0;0;0;0;12,6;24,9;10/05/2023 05:00;10/05/2023 04:00;10;5;2023;04:00
PENEDO;10/05/2023;06:00:00;22,3;22,2;22,3;22,1;99,9;99,9;99,9;99,9;22,2;22,1;22,2;22;1008,4;1008,4;1008,4;1008;20;4;20;0;1,4;2,1;2,5;1,4;311;307;321;298;0;0;0;0;12,6;25;10/05/2023 06:00;10/05/2023 05:00;10;5;2023;05:00
PENEDO;10/05/2023;07:00:00;23,7;22,8;23,7;22,4;99,9;99,9;99,9;99,9;23,6;22,7;23,6;22,3;1008,8;1008,8;1008,8;1008,6;125;103;304;29;1,7;2;2,5;1,6;328;314;333;298;0,1;0;0;0,4;13,2;26,9;10/05/2023 07:00;10/05/2023 06:00;10;5;2023;06:00
PENEDO;10/05/2023;08:00:00;26,5;25,6;26,5;24,4;95;98,2;99,9;95;25,6;25,2;25,7;24,3;1009,4;1009,2;1009,4;1008,8;317;423;558;317;1,6;1,7;2,2;1,1;302;323;337;302;0,1;0;0;0,6;14;30,7;10/05/2023 08:00;10/05/2023 07:00;10;5;2023;07:00
PENEDO;10/05/2023;09:00:00;27,9;27,3;28,4;26,3;89,3;91,1;93,5;89,3;25,9;25,6;26,5;24,9;1009,6;1009,6;1009,6;1009,4;1106;662;1106;251;0,6;0,8;1,5;0;303;286;315;217;0,1;0;0;0,5;13,9;33,3;10/05/2023 09:00;10/05/2023 08:00;10;5;2023;08:00
