LOCAL;DATA;HORA;Temp. Ins. (C);TEMP MAX;Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);PA INST;Pressao Max. (hPa);Pressao Min. (hPa);VEL VEN MED;Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
PIRANHAS;14/10/2023;0;;;;;;;;;;;;;;
PIRANHAS;14/10/2023;100;;;;;;;;;;;;;;
PIRANHAS;14/10/2023;200;25,1;25,5;25,1;78;78;76;993,6;993,9;993,6;3;94;6,7;;0
PIRANHAS;14/10/2023;300;24,6;25,1;24,6;80;80;78;993,4;993,6;993,3;2,5;98;6,5;;0
PIRANHAS;14/10/2023;400;24,1;24,6;24,1;81;81;80;992,9;993,4;992,9;2,4;101;5,7;;0
PIRANHAS;14/10/2023;500;23,7;24,1;23,7;83;83;81;992,6;992,9;992,6;2,5;95;6,1;;0
PIRANHAS;14/10/2023;600;23,5;23,8;23,5;84;84;82;992,6;992,6;992,5;2,4;84;5,8;;0
PIRANHAS;14/10/2023;700;23,1;23,5;23,1;87;87;84;993,1;993,1;992,6;2;92;4,3;;0
PIRANHAS;14/10/2023;800;22,9;23,1;22,9;87;87;87;993,9;993,9;993,1;0,2;109;3,5;;0
PIRANHAS;14/10/2023;900;23,4;23,4;22,8;84;87;84;994,4;994,4;993,9;1,4;97;3,9;133,5;0
PIRANHAS;14/10/2023;1000;25,7;25,7;23,4;73;84;73;995,1;995,1;994,4;2,9;84;5,6;904,9;0
PIRANHAS;14/10/2023;1100;27,4;27,5;25,2;64;75;64;995,3;995,3;995,1;3,2;100;7,2;1808,3;0
PIRANHAS;14/10/2023;1200;29,2;29,7;27,1;54;65;53;995,3;995,4;995,2;4,4;99;8,3;2488,4;0
PIRANHAS;14/10/2023;1300;30,6;31,4;28,6;48;56;47;994,9;995,4;994,9;3,5;101;8,8;2608,5;0
PIRANHAS;14/10/2023;1400;32;32,2;30,5;44;50;41;994;994,9;994;3,6;92;9,1;2641,5;0
PIRANHAS;14/10/2023;1500;33,3;33,7;32;39;44;39;992,8;994;992,8;3,5;87;9,3;3244,8;0
PIRANHAS;14/10/2023;1600;34,1;34,3;32,5;37;41;37;991,6;992,8;991,6;4,4;90;10,4;2472,6;0
PIRANHAS;14/10/2023;1700;34,7;35,4;33,3;37;40;35;991,1;991,6;991,1;3,8;84;10;2671,6;0
PIRANHAS;14/10/2023;1800;33,8;34,8;33,6;41;41;36;990,8;991,1;990,8;4,2;102;10,2;1862,4;0
PIRANHAS;14/10/2023;1900;32,6;33,9;32,6;44;44;40;991,2;991,2;990,8;5,5;99;12,1;1457;0
PIRANHAS;14/10/2023;2000;30,7;32,6;30,7;48;48;44;992,1;992,1;991,2;6,3;98;12,4;238,7;0
PIRANHAS;14/10/2023;2100;29,1;30,7;29,1;53;53;48;992,9;992,9;992,1;6,7;97;12,7;7,1;0
PIRANHAS;14/10/2023;2200;;;;;;;;;;;;;;
PIRANHAS;14/10/2023;2300;26,2;27,5;26,2;67;67;62;995,3;995,3;993,9;5,3;94;12,5;;0
PIRANHAS;15/10/2023;0;25,5;26,2;25,5;70;70;67;996,6;996,6;995,3;4,3;98;11,3;;0
PIRANHAS;15/10/2023;100;25;25,5;25;74;74;70;997,1;997,1;996,6;5,2;93;9,7;;0
PIRANHAS;15/10/2023;200;24,6;25;24,6;77;77;74;997;997,2;997;4,4;90;9,7;;0
PIRANHAS;15/10/2023;300;24;24,6;24;81;81;77;996,6;997;996,6;3,5;93;8,9;;0
PIRANHAS;15/10/2023;400;23,5;24;23,5;83;83;81;995,7;996,6;995,7;2,5;99;6,3;;0
PIRANHAS;15/10/2023;500;23,3;23,5;23,3;84;84;83;995,3;995,7;995,3;2,7;100;5,4;;0
PIRANHAS;15/10/2023;600;22,9;23,3;22,9;86;86;84;995,3;995,3;995,2;2,4;97;5,4;;0
PIRANHAS;15/10/2023;700;22,6;22,9;22,6;88;88;86;995,6;995,6;995,3;1,6;95;4;;0
PIRANHAS;15/10/2023;800;22,4;22,6;22,4;89;89;88;996;996;995,6;0,8;81;3,8;;0
PIRANHAS;15/10/2023;900;23,3;23,3;22,4;85;89;85;996,9;996,9;996;1,4;103;2,7;184,8;0
PIRANHAS;15/10/2023;1000;24,6;24,6;23,3;79;85;79;997,2;997,2;996,9;3,4;93;5,7;705,5;0
PIRANHAS;15/10/2023;1100;26,8;26,8;24,6;66;79;66;997,3;997,3;997,1;4,1;92;8,8;1719,8;0
PIRANHAS;15/10/2023;1200;28,8;29,3;26,8;53;66;52;997,1;997,3;997,1;4,6;85;10,7;2200,9;0
PIRANHAS;15/10/2023;1300;30,2;30,2;27;49;62;49;996,8;997,1;996,8;4;102;10,6;1574,5;0
PIRANHAS;15/10/2023;1400;31,6;32,1;30,2;40;49;39;995,9;996,8;995,9;5,1;96;10,3;3348,7;0
PIRANHAS;15/10/2023;1500;31;32,3;30,4;43;45;39;994,9;995,9;994,9;5,5;93;10,9;1905,7;0
PIRANHAS;15/10/2023;1600;30,5;31,8;30,5;45;45;41;993,7;994,9;993,7;4,3;110;11,8;2019;0
PIRANHAS;15/10/2023;1700;32,3;32,9;30,3;37;46;37;992,6;993,7;992,6;4,6;104;10,6;2103,7;0
PIRANHAS;15/10/2023;1800;32,7;33,2;31,8;33;38;32;992;992,6;992;4,8;90;11,5;1993,8;0
PIRANHAS;15/10/2023;1900;31,3;32,7;31,2;37;37;33;992,1;992,1;991,8;5,6;98;11,5;970,7;0
PIRANHAS;15/10/2023;2000;29,9;31,4;29,9;42;42;37;992,8;992,8;992;5;91;13,1;323,5;0
PIRANHAS;15/10/2023;2100;27,6;29,9;27,6;56;57;41;993,7;993,8;992,8;6,2;97;13,2;22,4;0
PIRANHAS;15/10/2023;2200;;;;;;;;;;;;;;
PIRANHAS;15/10/2023;2300;;;;;;;;;;;;;;
PIRANHAS;16/10/2023;0;24,5;25,4;24,5;69;69;65;996,9;996,9;996,2;3,8;104;8,8;;0
PIRANHAS;16/10/2023;100;23,8;24,5;23,8;75;75;69;997,1;997,1;996,9;2,9;101;7,2;;0
PIRANHAS;16/10/2023;200;23,2;23,8;23,2;78;78;75;996,8;997,1;996,8;2,5;99;6,8;;0
PIRANHAS;16/10/2023;300;22,6;23,2;22,6;82;82;78;996,3;996,8;996,3;1,2;76;5,7;;0
PIRANHAS;16/10/2023;400;21,6;22,6;21,6;86;86;82;995,8;996,3;995,8;0;218;2,8;;0
PIRANHAS;16/10/2023;500;21,1;21,6;21;88;88;86;995,2;995,8;995,2;0;159;1,1;;0
PIRANHAS;16/10/2023;600;20,9;21,2;20,9;90;90;88;994,9;995,2;994,8;0;131;0;;0
PIRANHAS;16/10/2023;700;20,6;21;20,6;90;90;89;994,9;995;994,9;0;222;0;;0
PIRANHAS;16/10/2023;800;20,4;20,7;20,4;91;91;90;995;995;994,8;0;221;1,1;;0
PIRANHAS;16/10/2023;900;21,7;21,7;20,3;84;92;84;995,4;995,4;995;0;113;1,2;152,5;0
PIRANHAS;16/10/2023;1000;23,8;23,8;21,6;77;84;75;996,2;996,2;995,4;1;96;2,9;911,8;0
PIRANHAS;16/10/2023;1100;26,4;26,7;23,8;61;78;60;996,7;996,7;996,2;3,6;77;7;1861,8;0
PIRANHAS;16/10/2023;1200;28,1;28,3;26,3;50;63;50;996,5;996,8;996,5;4,7;85;9,3;2886,9;0
PIRANHAS;16/10/2023;1300;29,8;29,9;28;43;51;43;995,9;996,5;995,9;5;90;9,9;3562,3;0
PIRANHAS;16/10/2023;1400;31,6;31,7;29,7;36;46;35;995,1;995,9;995,1;4,7;80;10,4;3837,4;0
PIRANHAS;16/10/2023;1500;31,4;32,6;30,5;36;40;33;994,1;995,1;994,1;3,6;110;10,3;2750,2;0
PIRANHAS;16/10/2023;1600;33,3;33,3;31,2;31;37;30;992,9;994,1;992,9;3,9;96;8,8;2723,2;0
PIRANHAS;16/10/2023;1700;33,2;33,7;32,2;30;33;30;992;992,9;992;4,3;95;10;2650,9;0
PIRANHAS;16/10/2023;1800;32,9;33,8;32,3;31;33;28;991,5;992;991,5;4,1;103;10,5;2232,7;0
PIRANHAS;16/10/2023;1900;31,6;33;31,6;33;33;31;991,4;991,5;991,3;5,1;98;11;1417;0
PIRANHAS;16/10/2023;2000;30,3;31,8;30,3;38;38;33;992,1;992,1;991,4;5,9;93;10,4;607,8;0
PIRANHAS;16/10/2023;2100;28,6;30,2;28,6;46;46;38;992,8;992,8;992,1;5;104;10,4;46;0
PIRANHAS;16/10/2023;2200;;;;;;;;;;;;;;
PIRANHAS;16/10/2023;2300;;;;;;;;;;;;;;
